id,title,companyName,listingDate,locations,salaryLabel,teaser
85244087,Junior Data Engineer,JFE Consulting Limited,2025-06-29T00:54:03Z,"Airport Area, Islands District",,Our client is now looking for a Junior Data Engineer to join their team.
85113456,Digital Marketing Executive,Reasonable Software House Limited,2025-06-23T14:47:59Z,Sham Shui Po District,"$22,000 – $28,000 per month","
Reasonable Software House Limited 思齊軟件有限公司
Reasonable is a one of the largest email marketing software as service in Hong Kong and southern..."
84811284,Systems Analyst,Armitage Technologies Ltd,2025-06-10T06:45:27Z,Kwun Tong District,,Innovative tech firm seeks adaptable Systems Analyst to streamline workflows and drive digital transformation.
85365893,Business Analyst (Microsoft Dynamics 365) (IT Solutions),Classy Wheeler Limited,2025-07-02T05:30:20Z,"Wong Chuk Hang, Southern District","$20,000 – $30,000 per month","Looking for a Dynamics 365 Business Analyst? Top firm in Greater China seeks your talent! Collaborate, innovate & grow. Apply now!"
84978904,"Part Time Internship, Rewards Data Intelligence, Hong Kong (H2 2025)",Willis Towers Watson,2025-06-17T07:06:17Z,Hong Kong Island,,"As an Intern in our Rewards Data Intelligence team, you will work on a variety of compensation and benefits surveys and related assignments"
85229784,SOC Operator,Autotoll Limited,2025-06-27T09:07:32Z,"Kowloon Bay, Kwun Tong District",,"To cope with our expansion and continuous growth in the transportation and logistics related service, we are inviting talents to join our..."
85269243,International Services Executive (Carrier Business),Hutchison Telecommunications,2025-06-30T10:11:28Z,"Tsing Yi, Kwai Tsing District",,"Being a well customer servicing, liaise of related documents, detail-minded and energetic.  Nice to good communication & presentation skill."
84973924,System Analyst,Global Smart Development Limited,2025-06-17T05:55:11Z,"Lai Chi Kok, Sham Shui Po District",,"Responsible for system analysis, application design and software development.
"
85258354,Data Analyst / Power BI Specialist,,2025-06-30T04:25:18Z,"Lai Chi Kok, Sham Shui Po District",,"Develop insightful Power BI dashboards, drive data-driven decisions, and develop of digital forms and workflows across Microsoft 365 platforms."
85170398,Regional Data Solutions Manager,Richemont,2025-06-25T09:52:28Z,Central and Western District,,Don't hesitate to join!
84653313,Associate Consultant/ Application Consultant/ Business Analyst,Smarthire by SEEK,2025-07-02T08:03:36Z,"Kowloon Bay, Kwun Tong District",,"Our client ""Bizspoke Technology Company Limited"" is seeking an Associate Consultant/ Application Consultant/ Business Analyst to join their team!"
85372946,OMS/ERP 系統維護與運營專員 OMS/ERP System Maintenance and Operations Specialist,Taste of Asia Group Limited,2025-07-02T08:10:18Z,"Diamond Hill, Wong Tai Sin District",,加入 Taste of Asia 團隊，擔任 OMS/ERP 系統維護與運營專員！這是一個充滿活力的職位，您將有機會參與多個部門的協作，確保關鍵系統的順暢運行，為員工提供培訓與支持，並推動創新解決方案的開發。如果您熱衷於技術、解決問題並希望發揮影響力！
84184938,Assistant Manager / Analyst (Long Term Business),Insurance Authority,2025-07-03T02:15:51Z,Southern District,,"Perform prudential supervision of authorized life insurers
Participate in conducting inspection and monitoring life insurers' compliance"
85171993,Product Marketing Officer,Melaleuca,2025-06-25T10:48:57Z,"Jordan, Yau Tsim Mong District",,Product promotion and Data analysis
85429400,Research Intern,"TCL Corporate Research (Hong Kong) Co., Limited",2025-07-03T06:08:33Z,Sha Tin District,,"This is an exceptional opportunity to work with our research scientists, gaining exposure to cutting-edge AI research."
85221323,"Specialist, Revenue Management",Hong Kong Express Airways Limited,2025-06-27T04:05:57Z,"Airport Area, Islands District",,summary
85138152,Deputy Assistant Manager / Senior Financial Analyst,Hutchison Telecommunications,2025-06-24T09:47:35Z,"Tsing Yi, Kwai Tsing District",,"•	Analyze financial information to support decision-making
•	Prepare monthly and quarterly forecasts, and annual budget reporting packages"
85171828,Business Analyst  / Assistant Business Analyst,BridgeBuilder Company Limited,2025-06-25T10:32:32Z,"Kwai Hing, Kwai Tsing District",,Leverage your business analysis skills to drive strategic initiatives and operational efficiency at BridgeBuilder. Join our dynamic team!
85035736,"Data Scientist, Audit (MJ004735)",KPMG,2025-06-19T07:15:11Z,"Central, Central and Western District",,We are actively hiring candidates with 1+ years’ experience relating to Data & Analytics with experience in Visualization to join our amazing team.
85363245,"Consultant, AI in Advanced Industry Engineering",Hong Kong Productivity Council,2025-07-02T04:09:29Z,"Kowloon Tong, Kowloon City District",,To conduct intensive technology search for identifying the latest emerging technologies development directions in applying AI techniques
85051958,Data Centre Operator,Smarthire by SEEK,2025-07-02T07:59:16Z,"Tsuen Wan, Tsuen Wan District",,"Our client ""Lantro (HK) Limited"" is seeking a Data Centre Operator to join their team!"
85381850,Business Analyst – Life Insurance Policy Administration (2-Year Contract),JNL Consulting Limited,2025-07-02T14:58:57Z,Central and Western District,,"Lead a high-impact policy admin transformation with a top insurer—drive system revamps, process redesign, and real change over a 2-year journey."
85215231,Senior Engineer (Data Management),Hutchison Telecommunications,2025-06-27T00:53:44Z,"Tsing Yi, Kwai Tsing District",,Handle End to End data transformation from a wide variety of data sources to data warehouse using ETL tools and programming techniques
84753242,Data Analyst - SAS (20 - 30k) - Renewable Contract role,Mclaren Consultancy Limited,2025-06-06T09:58:25Z,"Causeway Bay, Wan Chai District","$20,000 – $30,000 per month",Our client is a leading finance company in Hong Kong. They are now expanding the team and looking for a Data Analyst.
85124600,Senior Data Analyst or Data Analyst,Preface Technopreneur Limited,2025-06-24T03:25:51Z,Wan Chai District,,We are looking for a (Senior) Data Analyst to help analyze / interpret data and optimize Preface’s business operations and financial performance
84953444,Senior Platform Risk Analyst,Coper Pioneers Technology Limited,2025-06-16T10:18:50Z,New Territories,,Leading exchange 
85378292,"Financial Analyst, FP&A",Lane Crawford,2025-07-02T10:22:02Z,Southern District,,"As a Financial Analyst, you will support the finance team in providing financial insights and analysis to aid in achieving our business goals."
84650516,University Intern (Part-time) – AI & Machine Learning Research,Quality People Resources Limited,2025-06-03T03:09:47Z,Yau Tsim Mong District,,"Join us to shape AI's future! Develop cutting-edge Generative AI, collaborate with experts, and make an impact. Fresh graduates welcome!"
85411210,"*Top Tier Bank* Project Analyst (12 months contract), up to 40k per month",Allegis Global Solutions,2025-07-03T02:01:22Z,"Ngau Tau Kok, Kwun Tong District",,We are looking for candidates who are experienced in testing and project coordination. Candidates are expected to be test lead by leading few testers
84982789,Analyst Programmer,DXC Technology,2025-06-17T09:29:14Z,"Tai Koo, Eastern District",,Analyst Programmer
84662595,"Digital Business Analyst (Jira, Agile)",Persolkelly,2025-07-03T02:18:01Z,Hong Kong Island,,Oversee digital business and customer behavior requirements for insurance-related projects utilizing Agile methodology
84662604,Business Analyst,Soleil,2025-06-03T08:38:48Z,"Ngau Tau Kok, Kwun Tong District",,"
Responsibilities:

 Fund forecast and analysis
 Analyze our client needs and contribute to innovative solutions and concepts
 Provide..."
81524160,Business Analyst / Senior Business Analyst,Automated Systems (HK) Ltd,2025-06-30T01:41:12Z,Sha Tin District,,"2+ years of related experiences
Experiences in Scrum/Agile would be an advantage."
85367076,Business Analyst/ Junior Specialist (Investment Team NOT IT/Data),Manulife,2025-07-02T06:07:40Z,"Ngau Tau Kok, Kwun Tong District","$20,000 – $30,000 per year",We are a global insurance agency concentrating on fund and asset management for our clients.
85432710,AWS Services Business Development Manager,Ingram Micro,2025-07-03T07:20:38Z,"Kowloon Bay, Kwun Tong District",,Drive growth and expand market share for AWS solutions by identifying and developing new business opportunities. And work closely with partners.
85132727,Global Commercial Insights Analyst,Cathay Pacific Airways,2025-06-24T07:08:34Z,"Lantau Island, Islands District",,The successful candidate will become a key member of the Cathay’s dynamic Global Commercial Insights & Analytics Team
85362509,"Contract System Analyst (Credit Products , Cobol, Bank)",Global Talent Services Limited,2025-07-02T03:50:43Z,"Quarry Bay, Eastern District","$40,000 – $50,000 per month","Mainframe platform utilizing COBOL, JCL, CICS, VSAM; Loans/Credit business and related operation process; CardLink System."
84679261,Data Analyst - Financial Industry,Protiviti,2025-06-04T02:28:02Z,Eastern District,"$28,000 - $32,000 per month", We are looking for an experienced and passionate Data Analyst for our financial client.
85195678,Senior Programmer / Senior GIS Programmer,Esri,2025-06-26T06:59:17Z,"Lai Chi Kok, Sham Shui Po District",,"- Participate in GIS projects and development services;
- Provide teaching services to customers;
- Prepare GIS software demonstrations & prototypes."
85182077,Analyst Programmer,Decca Co,2025-06-26T01:35:41Z,"Chai Wan, Eastern District",,"You can enjoy:

 5-day work week
 12 days annual leave
 Guaranteed year-end bonus
 Competitive salary and Discretionary bonus
..."
85166042,Assistant CRM Manager,Loro Piana (HK) Ltd,2025-06-25T07:36:25Z,Hong Kong Island,,Implementing CRM activities in South Asia region to ensure global CRM objectives are met throughout the region.
85361873,Financial Anchor,AASTOCKS,2025-07-02T03:36:39Z,Hong Kong SAR,,"As part of our team, you are going to
Manage and create content for various social media platforms (Facebook, Instagram, YouTube..."
85406405,"ESG Consultant (Project-based, Freelance)",South China Holdings Company Limited,2025-07-03T01:43:13Z,"Central, Central and Western District",,"Prepare Environmental, Social and Governance (ESG) / Sustainability reports in compliance with requirements set out in the Listing Rules"
82304935,Senior Insight Analyst - Segmentation and Reporting,HKBN Ltd,2025-06-23T07:40:34Z,"Kwai Chung, Kwai Tsing District",,Support campaign planning and execution to deliver campaigns on agreed schedule and identify areas for automation to improve efficiency
85362361,Business Analyst,Serviceone Limited,2025-07-02T03:48:10Z,"Central, Central and Western District",,"Secondment position, 1-year renewable contract"
85011561,Financial Analyst | WPP Media,GroupM,2025-06-18T09:09:06Z,"Quarry Bay, Eastern District",,"WPP Media is looking for a Financial Analyst, Commercial to join our Finance team assist in various financial tasks."
85407782,Wealth Management Trainee & Intern 暑期實習/財富顧問/財富策劃顧問/財富管理培訓生/實習生/Internship/...,AIA,2025-07-03T01:48:40Z,"Causeway Bay, Wan Chai District","$20,000 – $30,000 per month","Full time Job Description: 

 - Assess clients’ financial situations by conducting financial needs analysis
 - Analyse and provide total..."
84894426,Data Analyst/ Assistant (Welcome Fresh Graduate),Chandler Macleod Group,2025-06-13T03:57:05Z,"Sham Shui Po, Sham Shui Po District","HKD $18,000 per month","  Job details:     Work location: Sham Shui Po  Working hour: Mon to Fri, 0830 - 1745  6 months contract, renewable    Responsibilities:     Oversee"
85244083,Senior Data Analyst,JFE Consulting Limited,2025-06-29T00:52:18Z,"Airport Area, Islands District",,Our client is one of the reputable IT solutions provider in HK with wide range of professional services from different industries. They are now...
85184940,"Junior, BI Developer",DCH Business Innovations,2025-06-26T02:50:02Z,"Kowloon Bay, Kwun Tong District",,Experience in building Azure Data Lake Gen 2 using different file formats and good understanding of Common data model & their Folders
84935849,Operations Optimization Algorithm Engineer,"TCL Corporate Research (Hong Kong) Co., Limited",2025-06-16T02:18:47Z,Sha Tin District,,"Develops data models for TCL’s digital transformation, focusing on supply chain optimization. Requires a Master’s, programming, and analytical skills."
85422264,"Data Center Technical Officer (TKO, 0900-1800 Mon-Fri)",CBRE,2025-07-03T03:09:12Z,"Tseung Kwan O Industrial Estate, Sai Kung District","$30,000 – $32,000 per month","This role will manage and plan asset data/work orders and work closely with clients, vendors, and contractors to make sure work orders are complete"
85410084,Postdoctoral Researcher - 3D Vision and AIGC,"TCL Corporate Research (Hong Kong) Co., Limited",2025-07-03T01:56:52Z,"Science Park, Tai Po District",,"Background in related fields such as Computer Science and Technology, AI, Geographic Information Systems, Remote Sensing Science & Technology"
85378402,ITSM Business Analyst,TEKsystems,2025-07-02T10:27:26Z,"Central, Central and Western District",,"Our client, a FSI enterprise firm, is looking for an experienced ITSM Business Analyst to join their team."
85271125,Data Scientist,JFE Consulting Limited,2025-06-30T12:54:58Z,"Central, Central and Western District",,Our client is a well-established IT Services Provider and now looking for an experienced Data Scientist to join their IT service team.
